Designator,Mid X,Mid Y,Rotation,Layer
D1,97.5,-158.0,96.0,bottom
D10,153.5,-158.0,121.0,bottom
D11,162.0,-143.5,121.0,bottom
D12,171.0,-129.0,121.0,bottom
D13,164.0,-175.0,126.0,bottom
D14,174.0,-161.5,126.0,bottom
D15,184.0,-148.0,126.0,bottom
D16,176.5,-188.5,126.0,bottom
D17,186.5,-175.0,126.0,bottom
D18,196.5,-161.0,126.0,bottom
D19,196.0,-192.0,126.0,bottom
D2,99.0,-141.0,96.0,bottom
D20,142.5,-189.5,126.0,bottom
D21,156.5,-206.0,141.0,bottom
D22,181.0,-215.0,66.0,bottom
D23,361.260516,-156.892629,6.0,top
D24,359.483533,-139.985756,6.0,top
D25,357.706549,-123.078884,6.0,top
D26,342.569754,-154.599002,11.0,top
D27,339.326001,-137.911339,11.0,top
D28,336.082249,-121.223677,11.0,top
D29,322.533524,-149.005567,26.0,top
D3,101.0,-124.0,96.0,bottom
D30,315.081215,-133.726068,26.0,top
D31,307.628905,-118.446569,26.0,top
D32,303.955486,-153.36776,31.0,top
D33,295.199838,-138.795916,31.0,top
D34,286.444191,-124.224072,31.0,top
D35,292.831551,-169.972518,36.0,top
D36,282.839201,-156.219229,36.0,top
D37,272.846852,-142.46594,36.0,top
D38,280.267715,-183.30331,36.0,top
D39,270.275365,-169.550021,36.0,top
D4,116.0,-156.5,101.0,bottom
D40,260.283016,-155.796732,36.0,top
D41,260.709234,-187.0068,36.0,top
D42,314.351801,-184.280887,36.0,top
D43,298.844384,-199.014398,51.0,top
D44,276.966316,-217.963221,336.0,top
D5,119.5,-140.0,101.0,bottom
D6,122.5,-123.0,101.0,bottom
D7,135.5,-153.0,116.0,bottom
D8,142.5,-138.0,116.0,bottom
D9,150.0,-122.5,116.0,bottom
S1,89.262125,-151.920019,354.0,top
S10,148.619704,-149.081923,329.0,top
S11,157.375351,-134.510079,329.0,top
S12,166.130998,-119.938235,329.0,top
S13,160.107375,-165.927433,324.0,top
S14,170.099724,-152.174144,324.0,top
S15,180.092073,-138.420855,324.0,top
S16,172.671211,-179.258225,324.0,top
S17,182.66356,-165.504936,324.0,top
S18,192.65591,-151.751647,324.0,top
S19,192.229692,-182.961715,324.0,top
S2,91.039109,-135.013147,354.0,top
S20,138.587124,-180.235802,324.0,top
S21,155.041345,-195.867796,309.0,top
S22,171.0,-213.395493,24.0,top
S23,360.737874,-151.920019,6.0,top
S24,358.96089,-135.013147,6.0,top
S25,357.183906,-118.106275,6.0,top
S26,341.615709,-149.690866,11.0,top
S27,338.371956,-133.003203,11.0,top
S28,335.128204,-116.315541,11.0,top
S29,320.341669,-144.511597,26.0,top
S3,92.816093,-118.106275,354.0,top
S30,312.889359,-129.232098,26.0,top
S31,305.43705,-113.952599,26.0,top
S32,301.380295,-149.081923,31.0,top
S33,292.624648,-134.510079,31.0,top
S34,283.869001,-119.938235,31.0,top
S35,289.892624,-165.927433,36.0,top
S36,279.900275,-152.174144,36.0,top
S37,269.907926,-138.420855,36.0,top
S38,277.328788,-179.258225,36.0,top
S39,267.336439,-165.504936,36.0,top
S4,108.38429,-149.690866,349.0,top
S40,257.34409,-151.751647,36.0,top
S41,257.770308,-182.961715,36.0,top
S42,311.412875,-180.235802,36.0,top
S43,294.958654,-195.867796,51.0,top
S44,279.0,-213.395493,336.0,top
S5,111.628043,-133.003203,349.0,top
S6,114.871796,-116.315541,349.0,top
S7,129.658331,-144.511597,334.0,top
S8,137.11064,-129.232098,334.0,top
S9,144.56295,-113.952599,334.0,top
